Fund,HQ,Region,NYC,Type,Stage,Focus / Thesis,Key People,Notable Portfolio,Scale,Tier,Src,Status,Notes
DFS Lab,Remote,US Remote,-,Pre-seed fund / accelerator,Pre-seed,"African digital commerce, stablecoin payments","Jake Kendall, Stephen Deng",TurnStay; Stellar Africa Fund I,,Track,K
DG Daiwa Ventures (DG Lab Fund),"Tokyo, Japan",Asia,-,CVC,Seed/A,"Digital Garage x Daiwa; blockchain, deep tech",Kaoru Hayashi,Blockstream,,Track,K
DHVC (Danhua Capital),"Palo Alto, USA",US West,-,VC,Seed-Series B,"Stanford-linked VC, heavy 2018 token bets",Shoucheng Zhang (late founder),,,Track,K,,verify
Dialectic,"Zug, Switzerland",Europe,-,Liquid + venture,Multi-stage,"Crypto investing, DeFi yield strategies",Ryan Zurrer,,,Track,K
Digital Asset Capital Management (DACM),"Sydney, Australia",Oceania,-,Liquid + venture,Seed/A,liquid funds + early-stage venture,Richard Galvin,,,Track,K
Digital Assets Venture Studio (QFC x Hashgraph Association),"Doha, Qatar",MEA,-,Venture studio,Pre-seed/seed,Hedera-based digital asset startups,Kamal Youssefi (Hashgraph Association president),,~$50M program,Track,K,,verify
Digital Finance Group (DFG),Singapore,Asia,-,Crypto-native VC,Multi-stage,"Polkadot ecosystem, CeFi, infra",James Wo,Circle,~$1B AUM (claimed),Track,K,,verify
DigitalX,"Perth, Australia",Oceania,-,Liquid asset manager,Liquid,ASX-listed digital asset funds manager,"Lisa Wade, Leigh Travers (former)",,,Track,K
Disney Accelerator,"Burbank, USA",US West,-,Accelerator,Pre-seed/seed,media tech; 2022 all-web3 class,,"Polygon, Flickplay, Lockerverse",,Track,K
Dispersion Capital,"San Francisco, USA",US West,-,Crypto VC,Seed,Web3 infrastructure,"Patrick Chang (founding partner, ex-Samsung Next)",,~$40M Fund I,Track,K,,verify
Distributed Global,"New York, USA",NYC,Verify,Liquid + venture,Multi-stage,"digital asset fund, tokens + equity","Johnny Steindorff, Tucker Waterman",,,Track,K,,verify
DNA Fund,"San Juan, USA",US South,-,Venture studio,Pre-seed/seed,Puerto Rico crypto venture studio/advisory,"Brock Pierce, Scott Walker",,,Track,K,,verify
Dominet Digital,"Melbourne, Australia",Oceania,-,Family office,Pre-seed/seed,crypto/fintech incubation and venture,Domenic Carosa,Banxa (incubated),,Track,K,,verify
DoraHacks,"San Francisco, USA",US West,-,Hackathon platform / funder,Grants/pre-seed,Hackathon and developer BUIDL funding platform,Eric Zhang (founder),,,Track,K
Dorm DAO,Remote,US Remote,Verify,Student investment DAO network,Liquid tokens,Funds student-run university crypto funds,"Zack Rosenblatt (Collab+Currency); backers ConsenSys Mesh, Artemis, Hydra Ventures","Michigan, Oregon, Dartmouth, Waterloo club funds",~600 ETH pooled,Track,K
Draper Cygnus,"Buenos Aires, Argentina",LatAm,-,Generalist w/ crypto,Pre-seed/seed,"deep tech + bitcoin/crypto, Draper network","Ignacio Plaza, Diego Gonzalez Bravo",,,Track,K,,verify
Draper Goren Holm,"Los Angeles, USA",US West,-,Crypto-native VC,Pre-seed/seed,"blockchain venture studio, LA Blockchain Summit","Tim Draper, Alon Goren, Josef Holm",,,Track,K
Druk Holding & Investments,"Thimphu, Bhutan",Asia,-,Sovereign holding company,Strategic,State Bitcoin mining and treasury,Ujjwal Deep Dahal,Bitdeer mining partnership (Gelephu),"~13,000 BTC held",Track,K
DTCC,"New York, USA",NYC,HQ,CVC,Multi-stage,"post-trade DLT, tokenization",,"Digital Asset, Securrency (acq.), Fnality",,Track,K
Dubai Future District Fund,"Dubai, UAE",MEA,-,Ecosystem fund,Seed/A,Dubai fintech & web3 ecosystem fund,Sharif El-Badawi,,~AED 1B,Track,K,,verify
Dunamu & Partners,"Seoul, South Korea",Asia,-,CVC,Seed/A,"blockchain + fintech, Upbit ecosystem",,Terraform Labs (2018 seed),,Track,K
DV Trading (DV Crypto),"Chicago, USA",US Central,-,Prop trading firm strategic investor,Strategic,Prop firm crypto venue investments,,EDX Markets,,Track,K,,verify
DWF Labs,Singapore,Asia,-,Liquid + venture,Multi-stage,market making plus token investments,Andrei Grachev,"TON, Synthetix",,Track,K
DWS (strategic),"Frankfurt, Germany",Europe,Office,Asset-manager strategic,Growth,"EUR stablecoin JV, tokenization",Stefan Hoops,AllUnity (JV),,Track,K
dYdX Foundation,"Zug, Switzerland",Europe,-,Ecosystem foundation,Grants,dYdX protocol ecosystem support,Charles d'Haussy (CEO),,,Track,K
Echo (echo.xyz),Remote,UK,-,angel syndicate platform,Seed,"onchain angel syndicate platform, acq. Coinbase",Cobie (Jordan Fish),,,Track,K,,verify
Eden Block,"London, UK",UK,-,Crypto-native VC,Pre-seed/seed,"Web3 infra, Israel-Europe axis",Lior Messika,,,Track,K,,verify
Efficient Frontier,"Tel Aviv, Israel",MEA,-,Market maker / prop trading,Liquid/trading,Algorithmic crypto trading and market making,Roei Levav (CEO),,,Track,K,,verify
eGirl Capital,Remote,Global,-,Pseudonymous investment collective,Seed/Token,Crypto-native DeFi and infra bets,CL207 (pseudonymous partner),,,Track,K,,verify
Ego Death Capital,"Austin, USA",US Central,-,Crypto-native VC,Seed/A,Bitcoin-only software companies,"Jeff Booth, Preston Pysh, Nico Lechuga",Relai,~$100M Fund II,Track,K,,verify
Eight Roads Ventures Israel,"Herzliya, Israel",MEA,-,Generalist w/ crypto,Multi-stage,"Fidelity-backed generalist, crypto infra exposure",,Fireblocks,,Track,K,,verify
Eldridge Industries (strategic),"Greenwich, USA",US East,Office,holding company / family office,growth (strategic),institutional blockchain and tokenization infrastructure,Todd Boehly,Digital Asset (Series D co-lead),,Track,K
Elevation Capital,"Gurgaon, India",Asia,-,Generalist w/ crypto,Seed/A,"consumer/fintech, selective web3 bets",Ravi Adusumalli,Pillow,~$670M Fund VIII,Track,K
Emoote,"Tokyo, Japan",Asia,-,CVC,Pre-seed/seed,"Web3 gaming, entertainment; Akatsuki arm",,STEPN,~$20M,Track,K,,verify
Empiricus / Vitreo,"São Paulo, Brazil",LatAm,-,Retail asset manager,-,retail crypto mutual funds Brazil,Felipe Miranda (Empiricus founder),,,Track,K,,verify
EMURGO Africa,"Nairobi, Kenya",MEA,-,Ecosystem fund,Pre-seed/seed,Cardano ecosystem investment for Africa,Ahmed M. Amer,"Nestcoin, Canza Finance (via Adaverse)",~$100M vehicle,Track,K
EMURGO Ventures,Singapore,Asia,-,CVC,Seed/A,"Cardano commercial arm, ecosystem investments",Ken Kodama,,~$100M Web3 vehicle,Track,K,,verify
Encode Club,"London, UK",UK,-,Accelerator,Pre-seed/seed,"Hackathons, bootcamps, web3 accelerators",Anthony Beaumont,,,Track,K,,verify
Enjinstarter,Singapore,Asia,-,Launchpad/accelerator,Pre-seed/IDO,"gaming and metaverse launchpad, accelerator",Prakash Somosundram (CEO),,,Track,K,,verify
Entrepreneur First,"London, UK",UK,Verify,Accelerator,Pre-seed/seed,Talent investor; deep tech incl. crypto compute,"Matt Clifford, Alice Bentinck",Gensyn,,Track,K,,verify
Entrée Capital,"Tel Aviv, Israel",MEA,-,Generalist w/ crypto,Multi-stage,"generalist, active Israeli web3 deal screener","Avi Eyal, Eran Bielski",,~$1.25B AUM,Track,K
EOS Network Foundation,Remote,Canada,-,Ecosystem fund,Seed/A,"EOS ecosystem revival, venture arm",Yves La Rose,,~$100M EOS Network Ventures,Track,K,,verify
Epoch (Epoch VC),Remote,US Remote,-,VC,Pre-seed/Seed,Bitcoin and Lightning infrastructure,Eric Yakes,,,Track,K
EQT Ventures,"Stockholm, Sweden",Europe,Verify,Generalist w/ crypto,Multi-stage,"European tech; select web3, tokenization",Ted Persson,Single.Earth,~€1.1bn (Fund III),Track,K
Equilibrium Ventures,"Helsinki, Finland",Europe,-,Crypto-native VC,Pre-seed/seed,"web3 infra, privacy, scaling; Eiger group",Teemu Päivinen,,,Track,K
Escape Velocity (EV3),Remote,US Remote,Verify,Crypto-native VC,Pre-seed/seed,DePIN-only thesis fund,"Mahesh Ramakrishnan, Salvador Gala",,~$62M Fund II (~$120M AUM),Track,K
Eterna Capital,"London, UK",UK,-,Crypto-native VC,Seed/A,"Blockchain infrastructure, ex-BlackRock founders","Andrea Bonaceto, Asim Ahmad",,,Track,K
Ethereal Ventures,"New York, USA",NYC,HQ,Crypto-native VC,Pre-seed/seed,"Ethereum ecosystem, early-stage web3","Min Teo, Joe Lubin",,,Track,K
Ethereum Foundation,"Zug, Switzerland",Europe,-,Ecosystem fund,Pre-seed/seed,"Ethereum R&D, ecosystem grants (non-equity)","Vitalik Buterin, Aya Miyaguchi",,~$1B+ treasury,Track,K
Ethiopian Investment Holdings,"Addis Ababa, Ethiopia",MEA,-,Sovereign wealth fund,Strategic,Bitcoin mining and data infrastructure deals,Brook Taye,West Data Group data-mining partnership,~$250M mining MoU,Track,K,,verify
Euroclear,"Brussels, Belgium",Europe,Office,CVC,Growth,"DLT settlement, digital bonds",,Fnality,,Track,K,,verify
Euronext,"Amsterdam, Netherlands",Europe,-,CVC,Growth,tokenization infrastructure,,Tokeny,,Track,K
EV3 (Escape Velocity),Remote,US Remote,Verify,Crypto-native VC,Pre-seed/seed,"DePIN, decentralized physical infrastructure","Mahesh Ramakrishnan, Sal Gala",,,Track,K,,verify
EV3 Ventures,"New York, USA",NYC,Verify,Crypto-native VC,Pre-seed/seed,"DePIN, decentralized physical infrastructure","Mahesh Ramakrishnan, Sami Kassab",,,Track,K,,verify
Everest Ventures Group (EVG),Hong Kong,Asia,-,Venture studio,Pre-seed/seed,"Web3 venture building, digital assets",,Aspen Digital (incubated),,Track,K,,verify
Everyrealm,"New York, USA",NYC,HQ,Investment co,Multi-stage,"metaverse real estate, NFT assets",Janine Yorio,,,Track,K
Evolution Equity Partners,"New York, USA",NYC,HQ,Growth equity,Growth (B-D),Cybersecurity growth equity incl. crypto compliance,Richard Seewald (founding partner),Elliptic (led Series C),~$1.1B latest fund,Track,K
Eximius Ventures,"Gurgaon, India",Asia,-,Generalist w/ crypto,Pre-seed/seed,"micro-VC: fintech, gaming, web3",Pearl Agarwal,STAN,~$10M,Track,K
Exnetwork Capital,"Manila, Philippines",Asia,-,Crypto-native VC,Pre-seed/seed,"GameFi, early token deals, incubation",Eric Su,,,Track,K,,verify
Exponential Age Asset Management (Real Vision),"Grand Cayman, Cayman Islands",Global,-,media-affiliated asset manager,Fund of funds,crypto fund-of-funds by Real Vision co-founder,Raoul Pal,,,Track,K,,verify
F5 Crypto Capital,"Berlin, Germany",Europe,-,Liquid + venture,Multi-stage,German-regulated crypto fund and index strategies,Florian Doehnert-Breyer,,,Track,K,,verify
Faber Ventures,"Lisbon, Portugal",Europe,-,Generalist w/ crypto,Pre-seed/seed,"deep tech: AI, web3, ocean",Alexandre Barbosa,,,Track,K,,verify
Fairfax County Retirement Systems,"Fairfax, USA",US East,-,Public pension fund,Fund LP + allocations,Crypto VC and yield fund allocations,Katherine Molnar; Andrew Spellar,Morgan Creek Digital funds; Parataxis Capital,~$7B AUM,Track,K
Fantom Foundation (now Sonic),Remote,Global,-,Ecosystem fund,Pre-seed/seed,Fantom/Sonic ecosystem incentives,"Michael Kong, Andre Cronje",,~370M FTM incentive program,Track,K
Fasanara Capital,"London, UK",UK,-,Liquid + venture,Multi-stage,Fintech credit; crypto trading and venture,Francesco Filia,,,Track,K,,verify
FBG Capital,Singapore,Asia,-,Liquid + venture,Seed/A,liquid trading + early token deals,Vincent Zhou,,,Track,K,,verify
FD7 Ventures,"Dubai, UAE",MEA,-,Crypto-native VC,Multi-stage,"large Cardano/Polkadot positions, web3 bets",Prakash Chand,,~$1B claimed,Track,K,,verify
Fenix Games,"Dubai, UAE",MEA,-,Web3 publisher/investor,Publishing/M&A,web3 game publisher and investor,Chris Ko (CEO),,~$150M from Phoenix Group,Track,K,,verify
Fetch.ai Innovation Lab,"Cambridge, UK",UK,-,ecosystem fund,accelerator/seed,AI-crypto ecosystem accelerator investments,Humayun Sheikh (CEO),,~$10M accelerator program,Track,K,,verify
Feynman Point Asset Management,"New York, USA",NYC,HQ,crypto hedge fund (Republic Digital spinout),liquid,institutional multi-strategy crypto investing,Joe Naggar (ex-GoldenTree senior partner),,~$300M (independent launch Oct 2025),Track,K
FiCAS,"Zug, Switzerland",Europe,-,Crypto asset manager (ETPs),Liquid markets,Actively managed crypto ETPs on SIX,Ali Mizani Oskui (founder/CIO),,,Track,K
Filecoin Foundation,Remote,US Remote,-,Ecosystem fund,Pre-seed/seed,Filecoin ecosystem grants (non-equity),Marta Belcher,,,Track,K
Fingerprints DAO,Remote,Global,-,Collector DAO,Pre-seed/seed,on-chain generative art collecting DAO,,Autoglyphs collection,,Track,K,,verify
Fintonia Group,Singapore,Asia,-,Digital asset manager,Liquid,"regulated Bitcoin funds, crypto credit",Adrian Chng,,,Track,K,,verify
firstminute Capital,"London, UK",UK,-,Generalist w/ crypto,Pre-seed/seed,Generalist seed; selective web3 deals,"Brent Hoberman, Spencer Crawley",Ramp Network,,Track,K,,verify
Fiserv (strategic),"Milwaukee, USA",US Central,Office,Payments fintech strategic,Growth,"Bank crypto rails, stablecoin initiatives",,NYDIG (2021 round),,Track,K,,verify
Flamingo DAO,Remote,US Remote,People,Investment DAO,NFT acquisition + seed,blue-chip NFT collecting,Aaron Wright (Tribute Labs),"CryptoPunks, Autoglyphs, Art Blocks holdings",,Track,K
Flori Ventures,"Miami, USA",US South,-,Crypto-native VC,Pre-seed/seed,"emerging-market crypto fintech, financial inclusion, Celo","Tomer Bariach, Maria Alegre",,,Track,K,,verify
Flourish Ventures,"San Francisco, USA",US West,-,Evergreen fintech VC,Seed–Series B,"Financial-health fintech, stablecoin payments thesis","Emmalyn Shaw, Arjuna Costa",HoneyCoin (led),~$850M AUM,Track,K
Flow Ecosystem Fund (Dapper Labs),"Vancouver, Canada",Canada,-,Ecosystem fund,Seed/A,Flow chain apps and infrastructure,Roham Gharegozlou,,~$725M,Track,K,,verify
Flow Traders Capital,"Amsterdam, Netherlands",Europe,Office,CVC,Seed/A,"digital asset venues, ETPs",,"D2X, Elwood",,Track,K,,verify
Flybridge Capital Partners,"Boston, USA",US East,Office,Generalist w/ crypto,Pre-seed/seed,Generalist seed; selective crypto deals,"Jeff Bussgang, Chip Hazard",Enigma (Secret Network),,Track,K,,verify
Folius Ventures,Hong Kong,Asia,-,Crypto-native VC,Seed/A,"Asia consumer web3, gaming apps",Jason Kam,,~$100M Fund I,Track,K
Foresight X,Singapore,Asia,-,Accelerator,Pre-seed/seed,Accelerator arm of Foresight Ventures,Forest Bai,,~$10M accelerator fund,Track,K,,verify
Forteus (Numeus Group),"Zug, Switzerland",Europe,Office,FoF,Multi-stage,"multi-manager digital asset solutions, Schroders-backed",Nobel Gulati,,~$50M initial vehicles,Track,K
Fortress Investment Group,"New York, USA",NYC,HQ,PE/credit,Growth,credit; distressed crypto claims buyer,Drew McKnight,"Mt. Gox claims, FTX claims",~$48B AUM,Track,K
Fourth Revolution Capital (4RC),Remote,US Remote,-,creator-led crypto VC,Seed,DeFi fund co-founded by DeFi Dad,DeFi Dad (ex-Zapper),,,Track,K,,verify
FOV Ventures,"Helsinki, Finland",Europe,-,Metaverse/web3 VC,Pre-seed/seed,"metaverse, web3 consumer, spatial computing","Petri Rajahalme, Dave Haynes",,~€25m (Fund I),Track,K
Frachtis,"Paris, France",Europe,-,Crypto-native VC,Pre-seed/seed,Crypto x AI early-stage startups,Nicole Zhang (ex-Binance Labs),,~$30M target,Track,K,,verify
Fracton Ventures,"Tokyo, Japan",Asia,-,Accelerator,Pre-seed/seed,"web3 incubator; DAOs, public goods","Yudai Suzuki, Akihiko Kamei",,,Track,K
Fulgur Ventures,"Zug, Switzerland",Europe,-,Crypto-native VC,Pre-seed/seed,Lightning Network infrastructure and apps,Oleg Mikhalsky,"Breez, Boltz",,Track,K
Fundamental Labs,Singapore,Asia,-,Crypto-native VC,Multi-stage,"Mining funds, hardware, exchange infra",Howard Yuan,"Canaan, Binance, Coinbase",~$500M portfolio value,Track,K
FundersClub,"San Francisco, USA",US West,-,Generalist w/ crypto,Pre-seed/seed,"Online VC platform, early Coinbase investor","Alex Mittal, Boris Silver",Coinbase,,Track,K,,verify
FundGo,"Can Tho, Vietnam",Asia,-,state-linked innovation fund,seed/grants,Mekong startup fund; blockchain focus,,,"~VND1,000B (~$40M)",Track,K,,verify
FunFair Ventures,"London, UK",UK,-,Founder investment arm,Early,blockchain casino and gaming investments,Jez San,,,Track,K,,verify
Future3 Campus,"Shanghai, China",Asia,-,Accelerator,Pre-seed/seed,DePIN + AI incubator (Wanxiang/HashKey),Xiao Feng,Edge Matrix Computing (EMC),~$50M seed fund,Track,K
Future\Perfect Ventures,"New York, USA",NYC,HQ,Crypto-native VC,Pre-seed/seed,"decentralized tech, emerging markets blockchain",Jalak Jobanputra,"Blockstream, Abra, Everledger",,Track,K
G+D Ventures,"Munich, Germany",Europe,-,CVC,Seed/A,TrustTech incl. digital asset custody infra,,Metaco,,Track,K,,verify
G2 Venture Partners,"Portola Valley, USA",US West,-,Sustainability growth VC,Series B+,Climate tech; led Crusoe Series C,Ben Kortlang,Crusoe,~$500M Fund II,Track,K,,verify
G20 Ventures,"Boston, USA",US East,-,Generalist w/ crypto,Seed/A,"Early-stage web3, decentralized trust thesis","Bill Wiberg, Bob Hower",,,Track,K,,verify
G2D Investments,"São Paulo, Brazil",LatAm,Verify,Listed VC/growth (GP Investments),Growth,listed tech vehicle; crypto exchange exposure,Fersen Lambranho (GP Investments),2TM (Mercado Bitcoin parent),,Track,K,,verify
GAINS Associates,"Tallinn, Estonia",Europe,-,Decentralized community syndicate,Seed/Private rounds,Token-gated group investing in early deals,"Alexandre Raffin (CEO), Reda Sabir","Avalanche, Quant, Bloktopia",~$30M+ deployed,Track,K
Galaxy Vision Hill (fka Vision Hill Group),"New York, USA",NYC,HQ,FoF,Multi-stage,crypto FoF and advisory; Galaxy-acquired 2021,Scott Army,,,Track,K
Game7,Remote,Global,-,Gaming DAO fund,Grants/early,web3 gaming DAO grants and investments,,HyperPlay (co-incubated),~$500M (BitDAO + Forte backed),Track,K
Gate Ventures,Singapore,Asia,-,CVC,Seed/A,"web3 infra, gaming, Asia-heavy",,,~$100M,Track,K
GBIC (Global Blockchain Innovative Capital),"Seoul, South Korea",Asia,Office,crypto VC (with Block72 advisory),early/token,cross-border Asia-US token fund,Sinhae Lee (co-founder),,,Track,K,,verify
Gemini Frontier Fund,"New York, USA",NYC,HQ,CVC,Seed/A,"web3, frontier tech, balance sheet","Tyler Winklevoss, Cameron Winklevoss",,,Track,K,,verify
Generative Ventures,"New York, USA",NYC,HQ,Fintech VC,Pre-seed/seed,"Fintech, digital assets, AI overlap",Lex Sokolin,,,Track,K,,verify
Genesis Mining,"Reykjavik, Iceland",Europe,-,Strategic (cloud miner),Growth,Cloud mining; seeded public miners,Marco Streng,HIVE Blockchain (~30% early stake),,Track,K
Geometry,"London, UK",UK,-,Research + venture firm,Seed,Zero-knowledge cryptography research and investing,"Tom Walton-Pocock, Kobi Gurkan; Alan Howard-backed (WebN)","Ingonyama (co-led seed), Succinct",~$2-4M seed checks,Track,K
GFR Fund,"San Francisco, USA",US West,-,Gaming VC w/ crypto,Pre-seed/seed,"Web3 gaming, digital entertainment; GREE-backed",Teppei Tsutsui,,,Track,K
Ghaf Capital Partners,"Dubai, UAE",MEA,-,Crypto-native VC,Pre-seed/seed,MENA crypto investments and advisory,Feras Al Sadek,,,Track,K,,verify
GIC,Singapore,Asia,Office,Sovereign wealth fund,Growth,sovereign fund; crypto infra growth rounds,Lim Chow Kiat,"Coinbase, Anchorage Digital, Chainalysis",~$700B AUM,Track,K
Gilgamesh Ventures,"New York, USA",NYC,HQ,VC,Pre-seed–Seed,"Payments fintech Americas, stablecoin infrastructure","Miguel Armaza, Andrew Endicott",,~$35M,Track,K,,verify
Global Advisors (Jersey),"St Helier, Jersey",UK,-,crypto fund manager,n/a (fund),pioneer regulated bitcoin funds; became CoinShares,"Daniel Masters, Russell Newton, Jean-Marie Mognetti",XBT Provider (acquired),,Track,K
